latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
48.86,2.3399997,43.0,0,GMT,GMT

time,temperature_2m (°C),wind_speed_10m (km/h)
2025-05-14T17:00,24.4,14.7
2025-05-14T18:00,23.5,14.4
2025-05-14T19:00,22.5,11.2
2025-05-14T20:00,20.7,13.0
2025-05-14T21:00,18.8,13.9
2025-05-14T22:00,17.1,12.5
2025-05-14T23:00,15.7,9.7
2025-05-15T00:00,14.6,10.8
2025-05-15T01:00,13.1,11.9
2025-05-15T02:00,11.6,11.9
2025-05-15T03:00,10.6,13.0
2025-05-15T04:00,9.6,13.3
2025-05-15T05:00,8.9,12.2
2025-05-15T06:00,9.5,12.6
2025-05-15T07:00,10.5,13.7
2025-05-15T08:00,11.8,13.7
2025-05-15T09:00,13.0,15.5
2025-05-15T10:00,14.1,14.8
2025-05-15T11:00,15.0,15.2
2025-05-15T12:00,16.0,15.6
2025-05-15T13:00,17.1,15.1
2025-05-15T14:00,17.4,18.0
2025-05-15T15:00,16.8,15.1
2025-05-15T16:00,16.7,16.6
2025-05-15T17:00,16.2,16.9
2025-05-15T18:00,15.4,13.6
2025-05-15T19:00,15.1,11.7
2025-05-15T20:00,14.5,12.3
2025-05-15T21:00,13.1,13.4
2025-05-15T22:00,12.2,12.6
2025-05-15T23:00,11.5,10.9
2025-05-16T00:00,11.1,10.2
2025-05-16T01:00,10.5,9.7
2025-05-16T02:00,10.0,9.0
2025-05-16T03:00,9.5,9.0
2025-05-16T04:00,9.0,8.6
2025-05-16T05:00,8.7,9.1
2025-05-16T06:00,9.4,9.7
2025-05-16T07:00,10.6,9.7
2025-05-16T08:00,12.4,9.4
2025-05-16T09:00,14.8,9.4
2025-05-16T10:00,16.9,10.8
2025-05-16T11:00,18.5,11.9
2025-05-16T12:00,19.4,13.0
2025-05-16T13:00,19.8,13.3
2025-05-16T14:00,20.2,14.0
2025-05-16T15:00,20.5,13.3
2025-05-16T16:00,20.2,13.3
2025-05-16T17:00,19.8,12.6
2025-05-16T18:00,19.0,13.3
2025-05-16T19:00,17.5,14.4
2025-05-16T20:00,15.7,14.1
2025-05-16T21:00,14.0,14.1
2025-05-16T22:00,12.5,12.7
2025-05-16T23:00,11.3,12.3
2025-05-17T00:00,10.4,11.2
2025-05-17T01:00,9.9,11.3
2025-05-17T02:00,10.0,6.9
2025-05-17T03:00,10.5,9.4
2025-05-17T04:00,10.4,10.4
2025-05-17T05:00,10.6,7.9
2025-05-17T06:00,10.9,8.8
2025-05-17T07:00,11.6,9.2
2025-05-17T08:00,12.2,8.7
2025-05-17T09:00,12.3,7.3
2025-05-17T10:00,13.3,9.0
2025-05-17T11:00,14.9,9.9
2025-05-17T12:00,15.7,9.7
2025-05-17T13:00,17.8,10.0
2025-05-17T14:00,18.7,13.5
2025-05-17T15:00,18.6,9.5
2025-05-17T16:00,18.9,10.4
2025-05-17T17:00,19.0,9.0
2025-05-17T18:00,18.6,9.1
2025-05-17T19:00,18.2,9.1
2025-05-17T20:00,17.3,6.9
2025-05-17T21:00,15.6,10.9
2025-05-17T22:00,14.3,7.8
2025-05-17T23:00,13.4,6.5
2025-05-18T00:00,12.6,5.4
2025-05-18T01:00,12.0,5.9
2025-05-18T02:00,11.4,5.4
2025-05-18T03:00,10.6,6.5
2025-05-18T04:00,9.9,6.1
2025-05-18T05:00,9.2,7.5
2025-05-18T06:00,8.8,7.0
2025-05-18T07:00,10.0,7.8
2025-05-18T08:00,10.3,6.9
2025-05-18T09:00,11.6,6.5
2025-05-18T10:00,14.1,6.9
2025-05-18T11:00,15.5,7.2
2025-05-18T12:00,17.0,7.9
2025-05-18T13:00,18.2,7.6
2025-05-18T14:00,19.1,7.7
2025-05-18T15:00,19.7,7.6
2025-05-18T16:00,19.5,10.4
2025-05-18T17:00,19.2,8.0
2025-05-18T18:00,19.4,7.6
2025-05-18T19:00,18.7,8.4
2025-05-18T20:00,16.4,14.0
2025-05-18T21:00,14.5,11.3
2025-05-18T22:00,13.5,8.4
2025-05-18T23:00,12.8,7.0
2025-05-19T00:00,11.8,6.4
2025-05-19T01:00,11.3,5.2
2025-05-19T02:00,10.8,4.5
2025-05-19T03:00,10.0,6.5
2025-05-19T04:00,9.3,6.3
2025-05-19T05:00,9.3,5.0
2025-05-19T06:00,10.4,6.1
2025-05-19T07:00,11.6,7.6
2025-05-19T08:00,13.7,9.1
2025-05-19T09:00,16.3,9.4
2025-05-19T10:00,18.1,10.0
2025-05-19T11:00,19.5,9.7
2025-05-19T12:00,20.8,9.3
2025-05-19T13:00,21.7,8.2
2025-05-19T14:00,22.4,8.7
2025-05-19T15:00,23.2,9.7
2025-05-19T16:00,23.1,9.3
2025-05-19T17:00,23.1,9.2
2025-05-19T18:00,22.7,8.9
2025-05-19T19:00,21.8,10.2
2025-05-19T20:00,20.7,8.7
2025-05-19T21:00,19.4,7.4
